func,seed,variant,final,dup_frac
3,6,NoRay_buggy,651.492431640625,0.985
3,7,P14_fixed,607.3207397460938,0.0
3,7,P14_buggy,627.4385986328125,0.29500000000000004
3,7,NoRay_fixed,652.6121826171875,0.655
3,7,NoRay_buggy,660.8615112304688,0.9675
3,8,P14_fixed,606.0440063476562,0.02749999999999997
3,8,P14_buggy,623.9235229492188,0.35
3,8,NoRay_fixed,644.0684204101562,0.995
3,8,NoRay_buggy,655.1427001953125,0.9425
3,9,P14_fixed,610.4288330078125,0.007499999999999951
3,9,P14_buggy,622.1446533203125,0.25
3,9,NoRay_fixed,639.529541015625,0.9675
3,9,NoRay_buggy,643.3802490234375,0.9875
3,10,P14_fixed,615.9605102539062,0.0
3,10,P14_buggy,622.2877197265625,0.29000000000000004
3,10,NoRay_fixed,649.8837890625,0.925
3,10,NoRay_buggy,658.3555908203125,0.9775
3,11,P14_fixed,609.7116088867188,0.040000000000000036
3,11,P14_buggy,622.1859741210938,0.30500000000000005
3,11,NoRay_fixed,645.785400390625,0.9225
3,11,NoRay_buggy,648.1093139648438,0.8975
3,12,P14_fixed,613.6103515625,0.0024999999999999467
3,12,P14_buggy,646.7044677734375,0.3125
3,12,NoRay_fixed,647.0150756835938,0.9375
3,12,NoRay_buggy,662.3757934570312,0.9725
3,13,P14_fixed,607.7664794921875,0.02749999999999997
3,13,P14_buggy,634.1466674804688,0.275
3,13,NoRay_fixed,652.20703125,0.9525
3,13,NoRay_buggy,660.1414184570312,0.995
3,14,P14_fixed,604.8436889648438,0.015000000000000013
3,14,P14_buggy,623.2910766601562,0.54
3,14,NoRay_fixed,644.6804809570312,0.925
3,14,NoRay_buggy,649.0502319335938,0.985
4,0,P14_fixed,827.700439453125,0.0024999999999999467
4,0,P14_buggy,832.853759765625,0.25749999999999995
4,0,NoRay_fixed,890.8604736328125,0.8575
4,0,NoRay_buggy,916.241943359375,0.9675
4,1,P14_fixed,827.674072265625,0.0024999999999999467
4,1,P14_buggy,830.428466796875,0.34750000000000003
4,1,NoRay_fixed,907.9025268554688,0.9975
4,1,NoRay_buggy,928.66015625,0.865
4,2,P14_fixed,838.4678344726562,0.0050000000000000044
4,2,P14_buggy,860.6224975585938,0.34750000000000003
4,2,NoRay_fixed,921.0385131835938,0.9875
4,2,NoRay_buggy,917.3251342773438,0.98
4,3,P14_fixed,843.5048217773438,0.007499999999999951
4,3,P14_buggy,840.9918212890625,0.31999999999999995
4,3,NoRay_fixed,918.3536376953125,0.9299999999999999
4,3,NoRay_buggy,932.2694702148438,0.99
4,4,P14_fixed,830.9247436523438,0.0050000000000000044
4,4,P14_buggy,835.2825927734375,0.29500000000000004
4,4,NoRay_fixed,902.447998046875,0.9675
4,4,NoRay_buggy,904.0347900390625,0.8875
4,5,P14_fixed,830.145751953125,0.0050000000000000044
4,5,P14_buggy,823.9479370117188,0.2975
4,5,NoRay_fixed,910.3543090820312,0.97
4,5,NoRay_buggy,948.9276123046875,0.9925
4,6,P14_fixed,835.4349365234375,0.0024999999999999467
4,6,P14_buggy,841.3613891601562,0.31999999999999995
4,6,NoRay_fixed,913.8638916015625,0.99
4,6,NoRay_buggy,931.0609130859375,0.955
4,7,P14_fixed,837.8143310546875,0.0024999999999999467
4,7,P14_buggy,833.8671264648438,0.36
4,7,NoRay_fixed,902.2313232421875,0.98
4,7,NoRay_buggy,922.4655151367188,0.975
4,8,P14_fixed,841.8235473632812,0.0024999999999999467
4,8,P14_buggy,837.8463134765625,0.2875
4,8,NoRay_fixed,909.8358764648438,0.995
4,8,NoRay_buggy,942.19873046875,0.9825
4,9,P14_fixed,828.1195068359375,0.0024999999999999467
4,9,P14_buggy,825.6499633789062,0.3125
4,9,NoRay_fixed,924.509765625,0.9275
4,9,NoRay_buggy,914.3683471679688,0.995
4,10,P14_fixed,830.6390380859375,0.0050000000000000044
4,10,P14_buggy,832.835693359375,0.22999999999999998
4,10,NoRay_fixed,901.935302734375,0.89
4,10,NoRay_buggy,930.99560546875,0.935
4,11,P14_fixed,843.1167602539062,0.010000000000000009
4,11,P14_buggy,850.3214111328125,0.31999999999999995
4,11,NoRay_fixed,879.4417724609375,0.995
4,11,NoRay_buggy,905.9967041015625,0.985
4,12,P14_fixed,828.9249877929688,0.0
4,12,P14_buggy,825.1533813476562,0.3075
4,12,NoRay_fixed,922.9107666015625,0.9425
4,12,NoRay_buggy,904.8726806640625,0.9925
4,13,P14_fixed,841.5303955078125,0.0024999999999999467
4,13,P14_buggy,851.080322265625,0.3125
4,13,NoRay_fixed,909.4942626953125,0.87
4,13,NoRay_buggy,933.8043212890625,0.8875
4,14,P14_fixed,828.4534912109375,0.0024999999999999467
4,14,P14_buggy,848.0758666992188,0.26749999999999996
4,14,NoRay_fixed,918.5587158203125,0.985
4,14,NoRay_buggy,923.0618286132812,0.975
5,0,P14_fixed,975.4898071289062,0.007499999999999951
5,0,P14_buggy,1047.75439453125,0.2875
5,0,NoRay_fixed,1778.005126953125,0.9975
5,0,NoRay_buggy,2128.132080078125,0.9975
5,1,P14_fixed,909.9906005859375,0.0024999999999999467
5,1,P14_buggy,1262.05517578125,0.2875
5,1,NoRay_fixed,1758.140625,0.985
5,1,NoRay_buggy,1883.626220703125,0.9975
5,2,P14_fixed,941.4517822265625,0.0
5,2,P14_buggy,1186.4014892578125,0.3125
5,2,NoRay_fixed,1766.540283203125,0.9975
5,2,NoRay_buggy,1792.661376953125,0.9975
5,3,P14_fixed,916.9161376953125,0.0
5,3,P14_buggy,1069.6787109375,0.245
5,3,NoRay_fixed,1575.962646484375,0.9775
5,3,NoRay_buggy,1973.3980712890625,0.9975
5,4,P14_fixed,923.7394409179688,0.0
5,4,P14_buggy,954.1934204101562,0.27249999999999996
5,4,NoRay_fixed,1691.5166015625,0.9975
5,4,NoRay_buggy,1922.0966796875,0.9975
5,5,P14_fixed,918.7516479492188,0.0024999999999999467
5,5,P14_buggy,994.9581298828125,0.25249999999999995
